trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-198.66164967068906,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-54.34707596592653,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-201.988915136955,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-135.77243681027784,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-116.66149232919845,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-92.85072989143546,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,4,-35.591867464349626,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-52.523664121296505,"{0: 26, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-129.2485349089777,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,11.385428687790462,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,1,-31.60576991060874,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-34.68322876638318,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-14.74406217762916,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,14,7.347774801885135,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,12.03926990467169,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,31.34064626161357,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-64.8324894440338,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,16,24.289849980552706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,4,10.381149593577527,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,17,9.276711190164335,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,5,21.408528082130836,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,18,15.34552276541618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,11,31.073207788437628,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,4,-1.575517960982835,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,8.998451425981582,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,38.150667909883744,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-10.70014842397751,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,18,19.479021633609943,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,16.24282141670373,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,-65.18279004789612,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
