trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-172.05168764372718,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-86.37154517511388,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-15.358074004390282,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-80.66189032862292,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-179.2872119709986,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-111.60621660024596,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-70.66597369023641,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,7,-62.046456480847176,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-158.05068627835126,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-99.79108154913088,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-144.83624634676758,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-84.22269891258478,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-3.4288305269901316,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,15,1.3492905254605567,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-50.9161538309686,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-100.71829024369555,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-99.46005269256607,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,0,-80.21029023641883,"{0: 17, 1: 6, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-110.92352932977306,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",30,0,-24.559593464069014,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-28.45479894970807,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-118.27443916568858,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-47.034587074228845,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,15,-29.012588011440926,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,12,-0.3638956195494987,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-35.87128202413029,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",30,0,-114.10958682242132,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-141.38709470054792,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,1,-59.563895538076245,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-85.94886042374561,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",35,0,-123.18173908153612,"{0: 28, 1: 1, 2: 3, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578535}",30,16,-71.09259916615441,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",25,0,-17.038359678042706,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",30,22,0.8807085251761833,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,0,-29.968448291405018,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-100.86695804476358,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690778}",25,3,-95.13769476122418,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",30,19,-3.6456746761298984,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-6.277932190700571,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,-52.689946061356366,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,20,10.648014751800426,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-57.76967702937652,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,18,-0.9378930690106477,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
