trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.26598254384695,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.64926823448644,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.79259671730824,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.15612834137855,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-128.1464982392794,"{0: 20, 1: 8, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.9075404844316,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.60776708796139,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.44362067159628,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.4518161635204,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.933325941368036,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,7,-43.940805115872266,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.1723006079334,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.24731361518,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.95131072966831,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.54080541129022,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.2858581905089,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,10,3.6350260003416324,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.79533298497229,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.32058133318662,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.9961708501492,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.36440723215026,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.48559945032036,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-231.0953500096555,"{0: 12, 1: 6, 2: 9, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.2328200752652,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.68727208860173,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-179.15828236241265,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-181.09080333588253,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.477348873257,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.2371017150774,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.64355323227825,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
